	Accuracy	Precision	Recall	F-score	OTHER_p	OTHER_r	RI_p	RI_r	RI_f
3n_poly_allF_SVM-linear-model-tfidf-rmstopwords-n-1-3	0.9344311377245509	0.9413936753069783	0.9344311377245509	0.9371380031183083	0.97	0.95	0.65	0.78	0.71
3n_poly_allF_SVM-linear-model-tfidf-rmstopwords-n-3	0.9197604790419162	0.9092096419406086	0.9197604790419162	0.9106197643825777	0.94	0.98	0.68	0.41	0.51
3n_poly_allF_SVM-poly-model-tfidf-rmstopwords-n-1	0.9359281437125748	0.932835720137378	0.9359281437125748	0.9258146954112609	0.94	0.99	0.88	0.43	0.58
3n_poly_allF_SVM-rbf-model-tfidf-rmstopwords-n-1-3	0.9410179640718563	0.9462703877971126	0.9410179640718563	0.9430795817634368	0.98	0.96	0.68	0.80	0.73
3n_poly_allF_SVM-rbf-model-tfidf-rmstopwords-n-3	0.9209580838323354	0.9107804798566134	0.9209580838323354	0.911953797750002	0.94	0.98	0.69	0.41	0.51
Gridallfeatures_MultinomialNB-poly-model-binary-n-1-2	0.9344311377245509	0.930316953072013	0.9344311377245509	0.931740120226063	0.95	0.97	0.71	0.59	0.65
Gridallfeatures_MultinomialNB-poly-model-binary-n-1	0.9383233532934132	0.936123409520786	0.9383233532934132	0.9370534705560177	0.96	0.97	0.72	0.65	0.68
Gridallfeatures_MultinomialNB-poly-model-binary-n-2	0.9338323353293413	0.9276863813840666	0.9338323353293413	0.9262237680101145	0.94	0.99	0.79	0.47	0.59
Gridallfeatures_MultinomialNB-poly-model-binary-rmstopwords-n-1-2	0.9299401197604791	0.924386701426055	0.9299401197604791	0.9260893087153657	0.95	0.97	0.70	0.55	0.61
Gridallfeatures_MultinomialNB-poly-model-binary-rmstopwords-n-1	0.9338323353293413	0.929663429809602	0.9338323353293413	0.9311167423285841	0.95	0.97	0.71	0.59	0.65
Gridallfeatures_MultinomialNB-poly-model-binary-rmstopwords-n-2	0.9236526946107785	0.9147559217154949	0.9236526946107785	0.9109239892711065	0.93	0.99	0.77	0.36	0.49
Gridallfeatures_MultinomialNB-poly-model-frequency-rmstopwords-n-1-2	0.9233532934131736	0.9256237051886083	0.9233532934131736	0.9244132740886307	0.96	0.95	0.62	0.66	0.64
Gridallfeatures_MultinomialNB-poly-model-frequency-rmstopwords-n-1	0.9269461077844311	0.9307943708736991	0.9269461077844311	0.9286464769761249	0.97	0.95	0.63	0.70	0.66
Gridallfeatures_MultinomialNB-poly-model-frequency-rmstopwords-n-2	0.9239520958083832	0.9146411091160973	0.9239520958083832	0.9128786328163135	0.93	0.98	0.74	0.39	0.51
Gridallfeatures_MultinomialNB-poly-model-tfidf-n-1-2	0.8994011976047904	0.9095334510834445	0.8994011976047904	0.8529389424111606	0.90	1.00	1.00	0.01	0.02
