	Accuracy	Precision	Recall	F-score	OTHER_p	OTHER_r	RI_p	RI_r	RI_f
MultinomialNB-poly-model-binary-n-1-2	0.929041916168	0.921703280559	0.929041916168	0.922626974116	0.94	0.98	0.73	0.49	0.58
MultinomialNB-poly-model-binary-n-1	0.926946107784	0.918700145478	0.926946107784	0.917165970807	0.94	0.98	0.76	0.41	0.54
MultinomialNB-poly-model-binary-n-2	0.920958083832	0.915581670883	0.920958083832	0.90221752322	0.92	0.99	0.85	0.27	0.41
MultinomialNB-poly-model-binary-rmstopwords-n-1-2	0.919461077844	0.908162836496	0.919461077844	0.907246181247	0.93	0.98	0.71	0.36	0.47
MultinomialNB-poly-model-binary-rmstopwords-n-1	0.918862275449	0.908026982091	0.918862275449	0.903380408062	0.93	0.99	0.74	0.31	0.44
MultinomialNB-poly-model-binary-rmstopwords-n-2	0.909281437126	0.902955235233	0.909281437126	0.878610719107	0.91	1.00	0.84	0.14	0.23
MultinomialNB-poly-model-tfidf-n-1-2	0.898502994012	0.908807721484	0.898502994012	0.850766088321	0.90	1.00	1.00	0.00	0.01
MultinomialNB-poly-model-tfidf-n-1	0.899101796407	0.909291396231	0.899101796407	0.852218056206	0.90	1.00	1.00	0.01	0.02
MultinomialNB-poly-model-tfidf-n-2	0.898203592814	0.806769694145	0.898203592814	0.850034945881	0.90	1.00	0.00	0.00	0.00
MultinomialNB-poly-model-tfidf-rmstopwords-n-1-2	0.898203592814	0.806769694145	0.898203592814	0.850034945881	0.90	1.00	0.00	0.00	0.00
MultinomialNB-poly-model-tfidf-rmstopwords-n-1	0.899401197605	0.909533451083	0.899401197605	0.852938942411	0.90	1.00	1.00	0.01	0.02
MultinomialNB-poly-model-tfidf-rmstopwords-n-2	0.898203592814	0.806769694145	0.898203592814	0.850034945881	0.90	1.00	0.00	0.00	0.00
SVM-linear-model-binary-n-1-2	0.947904191617	0.945183055689	0.947904191617	0.945971167612	0.96	0.98	0.79	0.67	0.72
SVM-linear-model-binary-n-1	0.941017964072	0.93717908392	0.941017964072	0.938217089237	0.96	0.98	0.76	0.61	0.68
SVM-linear-model-binary-n-2	0.935928143713	0.930333687464	0.935928143713	0.930929886976	0.95	0.98	0.76	0.54	0.63
SVM-linear-model-binary-rmstopwords-n-1-2	0.940419161677	0.936366135396	0.940419161677	0.937393635685	0.96	0.98	0.76	0.61	0.67
SVM-linear-model-binary-rmstopwords-n-1	0.940419161677	0.936296089782	0.940419161677	0.937294455881	0.96	0.98	0.76	0.60	0.67
SVM-linear-model-binary-rmstopwords-n-2	0.918263473054	0.906452574438	0.918263473054	0.904636270867	0.93	0.98	0.71	0.33	0.45
SVM-linear-model-tfidf-n-1-2	0.940119760479	0.93775117311	0.940119760479	0.938712669388	0.96	0.97	0.73	0.66	0.69
SVM-linear-model-tfidf-n-1	0.936826347305	0.932728256274	0.936826347305	0.934031491333	0.96	0.97	0.73	0.60	0.66
SVM-linear-model-tfidf-n-2	0.936826347305	0.932630988249	0.936826347305	0.933929327615	0.96	0.98	0.73	0.60	0.66
SVM-linear-model-tfidf-rmstopwords-n-1-2	0.934730538922	0.933423064471	0.934730538922	0.934030954369	0.96	0.97	0.69	0.66	0.67
SVM-linear-model-tfidf-rmstopwords-n-1	0.933832335329	0.929014810193	0.933832335329	0.930472329077	0.95	0.97	0.72	0.57	0.64
SVM-linear-model-tfidf-rmstopwords-n-2	0.922754491018	0.912916567164	0.922754491018	0.911506642782	0.93	0.98	0.73	0.38	0.50
SVM-rbf-model-binary-n-1-2	0.943113772455	0.939403949598	0.943113772455	0.940272169351	0.96	0.98	0.78	0.62	0.69
SVM-rbf-model-binary-n-1	0.946407185629	0.943678760152	0.946407185629	0.944543388212	0.96	0.98	0.78	0.66	0.72
SVM-rbf-model-binary-n-2	0.928443113772	0.921024592496	0.928443113772	0.922113366234	0.94	0.98	0.72	0.49	0.58
SVM-rbf-model-binary-rmstopwords-n-1-2	0.94251497006	0.938615073957	0.94251497006	0.939452071517	0.96	0.98	0.78	0.61	0.68
SVM-rbf-model-binary-rmstopwords-n-1	0.941916167665	0.939093250442	0.941916167665	0.940118402108	0.96	0.97	0.75	0.65	0.69
SVM-rbf-model-binary-rmstopwords-n-2	0.922754491018	0.91289629342	0.922754491018	0.911690958686	0.93	0.98	0.73	0.38	0.50
SVM-rbf-model-tfidf-n-1-2	0.941317365269	0.938351084022	0.941317365269	0.939411738576	0.96	0.97	0.74	0.64	0.69
SVM-rbf-model-tfidf-n-1	0.942215568862	0.938436637798	0.942215568862	0.939376758947	0.96	0.98	0.77	0.62	0.69
SVM-rbf-model-tfidf-n-2	0.93622754491	0.931353230251	0.93622754491	0.932559859221	0.95	0.98	0.74	0.57	0.65
SVM-rbf-model-tfidf-rmstopwords-n-1-2	0.93622754491	0.93346617061	0.93622754491	0.934588149713	0.96	0.97	0.71	0.63	0.67
SVM-rbf-model-tfidf-rmstopwords-n-1	0.944011976048	0.940375949144	0.944011976048	0.941168893834	0.96	0.98	0.78	0.62	0.69
SVM-rbf-model-tfidf-rmstopwords-n-2	0.922155688623	0.912032475134	0.922155688623	0.911190605801	0.93	0.98	0.72	0.38	0.50
