	Accuracy	Precision	Recall	F-score	OTHER_p	OTHER_r	RI_p	RI_r	RI_f
MultinomialNB-poly-model-binary-n-1-2	0.912574850299	0.900324525875	0.912574850299	0.903351657452	0.93	0.97	0.61	0.38	0.47
MultinomialNB-poly-model-binary-n-2	0.905988023952	0.888130828807	0.905988023952	0.876689223594	0.91	0.99	0.69	0.14	0.23
MultinomialNB-poly-model-binary-rmstopwords-n-1-2	0.912874251497	0.900639638056	0.912874251497	0.903592209554	0.93	0.97	0.62	0.38	0.47
MultinomialNB-poly-model-binary-rmstopwords-n-2	0.905988023952	0.888495347839	0.905988023952	0.876317630485	0.91	0.99	0.70	0.14	0.23
MultinomialNB-poly-model-tfidf-n-1-2	0.905389221557	0.887423464394	0.905389221557	0.874770303625	0.91	0.99	0.69	0.13	0.21
MultinomialNB-poly-model-tfidf-n-2	0.898203592814	0.857882198455	0.898203592814	0.850615046556	0.90	1.00	0.50	0.00	0.01
MultinomialNB-poly-model-tfidf-rmstopwords-n-1-2	0.905389221557	0.887423464394	0.905389221557	0.874770303625	0.91	0.99	0.69	0.13	0.21
MultinomialNB-poly-model-tfidf-rmstopwords-n-2	0.898203592814	0.806769694145	0.898203592814	0.850034945881	0.90	1.00	0.00	0.00	0.00
SVM-linear-model-binary-n-1-2	0.911077844311	0.904421512506	0.911077844311	0.907143852729	0.94	0.96	0.58	0.47	0.52
SVM-linear-model-binary-n-2	0.909580838323	0.896168648556	0.909580838323	0.89966413966	0.93	0.97	0.59	0.36	0.45
SVM-linear-model-binary-rmstopwords-n-1-2	0.911077844311	0.904421512506	0.911077844311	0.907143852729	0.94	0.96	0.58	0.47	0.52
SVM-linear-model-binary-rmstopwords-n-2	0.908982035928	0.895555579849	0.908982035928	0.899190484521	0.93	0.97	0.59	0.36	0.45
SVM-linear-model-frequency-rmstopwords-n-2	0.908383233533	0.89512445502	0.908383233533	0.898906910435	0.93	0.97	0.58	0.36	0.45
SVM-linear-model-tfidf-n-1-2	0.909281437126	0.894785603063	0.909281437126	0.89805811675	0.93	0.97	0.59	0.34	0.43
SVM-linear-model-tfidf-n-2	0.908982035928	0.89360170385	0.908982035928	0.896586809418	0.93	0.98	0.60	0.32	0.42
SVM-linear-model-tfidf-rmstopwords-n-1-2	0.908982035928	0.89445629694	0.908982035928	0.897822359013	0.93	0.97	0.59	0.34	0.43
SVM-linear-model-tfidf-rmstopwords-n-2	0.907784431138	0.892687390504	0.907784431138	0.896273486658	0.93	0.97	0.58	0.33	0.42
SVM-rbf-model-binary-n-1-2	0.912574850299	0.902491790612	0.912574850299	0.905754799051	0.94	0.97	0.60	0.42	0.50
SVM-rbf-model-binary-n-2	0.910479041916	0.899903355584	0.910479041916	0.903412077359	0.94	0.97	0.59	0.41	0.48
SVM-rbf-model-binary-rmstopwords-n-1-2	0.913173652695	0.904579793477	0.913173652695	0.907654410412	0.94	0.97	0.60	0.45	0.51
SVM-rbf-model-binary-rmstopwords-n-2	0.909880239521	0.896634687512	0.909880239521	0.900091032785	0.93	0.97	0.59	0.36	0.45
SVM-rbf-model-tfidf-n-1-2	0.911377245509	0.898497214236	0.911377245509	0.901657567348	0.93	0.97	0.61	0.37	0.46
SVM-rbf-model-tfidf-n-2	0.908083832335	0.89448359691	0.908083832335	0.898291437571	0.93	0.97	0.58	0.36	0.44
SVM-rbf-model-tfidf-rmstopwords-n-1-2	0.910778443114	0.900350106239	0.910778443114	0.903818253826	0.94	0.97	0.59	0.41	0.49
SVM-rbf-model-tfidf-rmstopwords-n-2	0.908083832335	0.894830246484	0.908083832335	0.898670832631	0.93	0.97	0.58	0.36	0.45
