	Accuracy	Precision	Recall	F-score	OTHER_p	OTHER_r	RI_p	RI_r	RI_f
MultinomialNB-poly-model-binary-n-1-2	0.886526946108	0.870333409302	0.886526946108	0.876926240828	0.92	0.95	0.42	0.29	0.34
MultinomialNB-poly-model-binary-n-2	0.9	0.874951847572	0.9	0.878760544859	0.91	0.98	0.52	0.19	0.28
MultinomialNB-poly-model-binary-rmstopwords-n-1-2	0.89251497006	0.874190471008	0.89251497006	0.880839470997	0.92	0.96	0.45	0.28	0.35
MultinomialNB-poly-model-binary-rmstopwords-n-2	0.897904191617	0.869365451632	0.897904191617	0.873860781544	0.91	0.98	0.50	0.16	0.24
MultinomialNB-poly-model-tfidf-n-1-2	0.89880239521	0.866714642187	0.89880239521	0.854813283992	0.90	1.00	0.57	0.02	0.05
MultinomialNB-poly-model-tfidf-n-2	0.898502994012	0.908807721484	0.898502994012	0.850766088321	0.90	1.00	1.00	0.00	0.01
MultinomialNB-poly-model-tfidf-rmstopwords-n-1-2	0.897904191617	0.852844096656	0.897904191617	0.85215803858	0.90	1.00	0.44	0.01	0.02
MultinomialNB-poly-model-tfidf-rmstopwords-n-2	0.898203592814	0.857882198455	0.898203592814	0.850615046556	0.90	1.00	0.50	0.00	0.01
SVM-linear-model-binary-n-1-2	0.897005988024	0.850243783352	0.897005988024	0.854360253694	0.90	1.00	0.41	0.03	0.05
SVM-linear-model-binary-n-2	0.896706586826	0.851346848581	0.896706586826	0.855722890704	0.90	0.99	0.41	0.04	0.07
SVM-linear-model-binary-rmstopwords-n-1-2	0.897604790419	0.852757031064	0.897604790419	0.85363224471	0.90	1.00	0.44	0.02	0.04
SVM-linear-model-binary-rmstopwords-n-2	0.896407185629	0.846719407987	0.896407185629	0.85403253442	0.90	0.99	0.38	0.03	0.05
SVM-linear-model-tfidf-n-1-2	0.902694610778	0.878718346906	0.902694610778	0.871400440958	0.91	0.99	0.62	0.11	0.19
SVM-linear-model-tfidf-n-2	0.900299401198	0.872255636014	0.900299401198	0.862630462067	0.90	0.99	0.59	0.06	0.12
SVM-linear-model-tfidf-rmstopwords-n-1-2	0.896107784431	0.845165415775	0.896107784431	0.85386871784	0.90	0.99	0.36	0.03	0.05
SVM-linear-model-tfidf-rmstopwords-n-2	0.895209580838	0.841157746619	0.895209580838	0.853377432604	0.90	0.99	0.32	0.03	0.05
SVM-rbf-model-binary-n-1-2	0.887425149701	0.878269451539	0.887425149701	0.882353879141	0.93	0.95	0.44	0.36	0.39
SVM-rbf-model-binary-n-2	0.889520958084	0.879560440643	0.889520958084	0.883910811898	0.93	0.95	0.45	0.36	0.40
SVM-rbf-model-binary-rmstopwords-n-1-2	0.9	0.88125677583	0.9	0.88661243545	0.92	0.97	0.52	0.28	0.37
SVM-rbf-model-binary-rmstopwords-n-2	0.895508982036	0.88043265596	0.895508982036	0.886062506188	0.93	0.96	0.48	0.32	0.38
SVM-rbf-model-tfidf-n-1-2	0.901497005988	0.877274173165	0.901497005988	0.87983424896	0.91	0.98	0.55	0.19	0.29
SVM-rbf-model-tfidf-n-2	0.897005988024	0.878103245211	0.897005988024	0.884149608475	0.92	0.97	0.49	0.28	0.36
SVM-rbf-model-tfidf-rmstopwords-n-1-2	0.898502994012	0.866494566624	0.898502994012	0.867856734925	0.91	0.99	0.51	0.11	0.18
SVM-rbf-model-tfidf-rmstopwords-n-2	0.875748502994	0.875910463373	0.875748502994	0.875829374214	0.93	0.93	0.39	0.39	0.39
