	Accuracy	Precision	Recall	F-score	OTHER_p	OTHER_r	RI_p	RI_r	RI_f
MultinomialNB-poly-model-binary-n-1-2	0.930239520958	0.922983428492	0.930239520958	0.923095452779	0.94	0.98	0.75	0.47	0.58
MultinomialNB-poly-model-binary-n-1	0.927245508982	0.919348836154	0.927245508982	0.916738585281	0.94	0.99	0.77	0.40	0.53
MultinomialNB-poly-model-binary-n-2	0.918562874251	0.915425559138	0.918562874251	0.8965180337	0.92	1.00	0.88	0.23	0.37
MultinomialNB-poly-model-binary-rmstopwords-n-1-2	0.919461077844	0.908199920845	0.919461077844	0.906647553892	0.93	0.98	0.72	0.35	0.47
MultinomialNB-poly-model-binary-rmstopwords-n-1	0.919760479042	0.909241406877	0.919760479042	0.905002171518	0.93	0.99	0.75	0.32	0.45
MultinomialNB-poly-model-binary-rmstopwords-n-2	0.908982035928	0.900506809617	0.908982035928	0.878779883898	0.91	1.00	0.81	0.14	0.24
MultinomialNB-poly-model-frequency-n-1-2	0.92754491018	0.919830296949	0.92754491018	0.920923685248	0.94	0.98	0.72	0.48	0.57
MultinomialNB-poly-model-frequency-n-1	0.929640718563	0.922277797182	0.929640718563	0.922721236828	0.94	0.98	0.74	0.48	0.58
MultinomialNB-poly-model-frequency-n-2	0.916467065868	0.907314714797	0.916467065868	0.895984814203	0.92	0.99	0.79	0.24	0.37
MultinomialNB-poly-model-frequency-rmstopwords-n-1-2	0.924550898204	0.915387794282	0.924550898204	0.915300113393	0.94	0.98	0.72	0.42	0.53
MultinomialNB-poly-model-frequency-rmstopwords-n-1	0.924850299401	0.915773979136	0.924850299401	0.915047194533	0.94	0.98	0.74	0.41	0.53
MultinomialNB-poly-model-frequency-rmstopwords-n-2	0.910479041916	0.901761984875	0.910479041916	0.882403397408	0.91	1.00	0.81	0.16	0.27
MultinomialNB-poly-model-tfidf-n-1-2	0.898502994012	0.908807721484	0.898502994012	0.850766088321	0.90	1.00	1.00	0.00	0.01
MultinomialNB-poly-model-tfidf-n-1	0.899101796407	0.909291396231	0.899101796407	0.852218056206	0.90	1.00	1.00	0.01	0.02
MultinomialNB-poly-model-tfidf-n-2	0.898203592814	0.806769694145	0.898203592814	0.850034945881	0.90	1.00	0.00	0.00	0.00
MultinomialNB-poly-model-tfidf-rmstopwords-n-1-2	0.898502994012	0.908807721484	0.898502994012	0.850766088321	0.90	1.00	1.00	0.00	0.01
MultinomialNB-poly-model-tfidf-rmstopwords-n-1	0.899401197605	0.909533451083	0.899401197605	0.852938942411	0.90	1.00	1.00	0.01	0.02
MultinomialNB-poly-model-tfidf-rmstopwords-n-2	0.898502994012	0.908807721484	0.898502994012	0.850766088321	0.90	1.00	1.00	0.00	0.01
SVM-linear-model-binary-n-1-2	0.947904191617	0.945253416288	0.947904191617	0.946052169569	0.96	0.98	0.79	0.67	0.72
SVM-linear-model-binary-n-1	0.944610778443	0.941501956033	0.944610778443	0.942425213982	0.96	0.98	0.77	0.65	0.70
SVM-linear-model-binary-n-2	0.933233532934	0.92746637316	0.933233532934	0.928694224554	0.95	0.98	0.73	0.54	0.62
SVM-linear-model-binary-rmstopwords-n-1-2	0.94371257485	0.940196120417	0.94371257485	0.941085584032	0.96	0.98	0.78	0.63	0.69
SVM-linear-model-binary-rmstopwords-n-1	0.944910179641	0.941717819527	0.944910179641	0.942605401382	0.96	0.98	0.78	0.64	0.70
SVM-linear-model-binary-rmstopwords-n-2	0.916167664671	0.903244431967	0.916167664671	0.901645794829	0.93	0.98	0.69	0.31	0.43
SVM-linear-model-frequency-n-1-2	0.946706586826	0.9434060497	0.946706586826	0.944044453392	0.96	0.98	0.80	0.64	0.71
SVM-linear-model-frequency-n-1	0.942215568862	0.938436637798	0.942215568862	0.939376758947	0.96	0.98	0.77	0.62	0.69
SVM-linear-model-frequency-n-2	0.935329341317	0.929514969104	0.935329341317	0.929919349191	0.95	0.98	0.76	0.53	0.62
SVM-linear-model-frequency-rmstopwords-n-1-2	0.938323353293	0.933362478926	0.938323353293	0.934074941042	0.95	0.98	0.77	0.56	0.65
SVM-linear-model-frequency-rmstopwords-n-1	0.939520958084	0.935734832855	0.939520958084	0.936893954027	0.96	0.98	0.75	0.61	0.67
SVM-linear-model-frequency-rmstopwords-n-2	0.915269461078	0.901862093476	0.915269461078	0.900028902303	0.93	0.98	0.69	0.30	0.42
SVM-linear-model-tfidf-n-1-2	0.938922155689	0.937999426276	0.938922155689	0.938434508229	0.96	0.97	0.71	0.68	0.69
SVM-linear-model-tfidf-n-1	0.936526946108	0.932158152876	0.936526946108	0.93346083136	0.95	0.98	0.73	0.59	0.65
SVM-linear-model-tfidf-n-2	0.935329341317	0.929709776026	0.935329341317	0.930523162498	0.95	0.98	0.75	0.54	0.63
SVM-linear-model-tfidf-rmstopwords-n-1-2	0.932634730539	0.930567829316	0.932634730539	0.931488895763	0.96	0.97	0.68	0.63	0.66
SVM-linear-model-tfidf-rmstopwords-n-1	0.938323353293	0.934328055494	0.938323353293	0.935544944423	0.96	0.98	0.74	0.61	0.67
SVM-linear-model-tfidf-rmstopwords-n-2	0.918263473054	0.906428361364	0.918263473054	0.904845754356	0.93	0.98	0.71	0.34	0.46
SVM-rbf-model-binary-n-1-2	0.949700598802	0.946955441357	0.949700598802	0.947596236045	0.96	0.98	0.80	0.67	0.73
SVM-rbf-model-binary-n-1	0.948203592814	0.945290227824	0.948203592814	0.945995240794	0.96	0.98	0.80	0.66	0.72
SVM-rbf-model-binary-n-2	0.933832335329	0.927552249928	0.933832335329	0.927457954584	0.95	0.98	0.77	0.50	0.61
SVM-rbf-model-binary-rmstopwords-n-1-2	0.945508982036	0.94212529132	0.945508982036	0.942876751451	0.96	0.98	0.79	0.64	0.70
