	Accuracy	Precision	Recall	F-score	OTHER_p	OTHER_r	RI_p	RI_r	RI_f
MultinomialNB-poly-model-binary-n-1-2	0.9344311377245509	0.930316953072013	0.9344311377245509	0.931740120226063	0.95	0.97	0.71	0.59	0.65
MultinomialNB-poly-model-binary-n-1	0.9383233532934132	0.936123409520786	0.9383233532934132	0.9370534705560177	0.96	0.97	0.72	0.65	0.68
MultinomialNB-poly-model-binary-n-2	0.9338323353293413	0.9276863813840666	0.9338323353293413	0.9262237680101145	0.94	0.99	0.79	0.47	0.59
MultinomialNB-poly-model-binary-rmstopwords-n-1-2	0.9299401197604791	0.924386701426055	0.9299401197604791	0.9260893087153657	0.95	0.97	0.70	0.55	0.61
MultinomialNB-poly-model-binary-rmstopwords-n-1	0.9338323353293413	0.929663429809602	0.9338323353293413	0.9311167423285841	0.95	0.97	0.71	0.59	0.65
MultinomialNB-poly-model-binary-rmstopwords-n-2	0.9236526946107785	0.9147559217154949	0.9236526946107785	0.9109239892711065	0.93	0.99	0.77	0.36	0.49
MultinomialNB-poly-model-frequency-rmstopwords-n-1-2	0.9233532934131736	0.9256237051886083	0.9233532934131736	0.9244132740886307	0.96	0.95	0.62	0.66	0.64
MultinomialNB-poly-model-frequency-rmstopwords-n-1	0.9269461077844311	0.9307943708736991	0.9269461077844311	0.9286464769761249	0.97	0.95	0.63	0.70	0.66
MultinomialNB-poly-model-frequency-rmstopwords-n-2	0.9239520958083832	0.9146411091160973	0.9239520958083832	0.9128786328163135	0.93	0.98	0.74	0.39	0.51
MultinomialNB-poly-model-tfidf-n-1-2	0.8994011976047904	0.9095334510834445	0.8994011976047904	0.8529389424111606	0.90	1.00	1.00	0.01	0.02
MultinomialNB-poly-model-tfidf-n-1	0.8988023952095808	0.8838151036057382	0.8988023952095808	0.852063578973132	0.90	1.00	0.75	0.01	0.02
MultinomialNB-poly-model-tfidf-n-2	0.8985029940119761	0.8750900955057221	0.8985029940119761	0.8513410120287795	0.90	1.00	0.67	0.01	0.01
MultinomialNB-poly-model-tfidf-rmstopwords-n-1-2	0.9023952095808383	0.9119620050338288	0.9023952095808383	0.8599678419569227	0.90	1.00	1.00	0.04	0.08
MultinomialNB-poly-model-tfidf-rmstopwords-n-1	0.8997005988023952	0.8954486552162488	0.8997005988023952	0.8542111863190373	0.90	1.00	0.86	0.02	0.03
MultinomialNB-poly-model-tfidf-rmstopwords-n-2	0.9047904191616767	0.9036662699445828	0.9047904191616767	0.8667829244800199	0.90	1.00	0.89	0.07	0.14
SVM-linear-model-binary-n-1-2	0.9437125748502994	0.9404084140695412	0.9437125748502994	0.9413576927167387	0.96	0.98	0.77	0.64	0.70
SVM-linear-model-binary-n-1	0.9455089820359281	0.9429271318498778	0.9455089820359281	0.9438224184723718	0.96	0.98	0.77	0.67	0.71
SVM-linear-model-binary-n-2	0.9383233532934132	0.9331892666280343	0.9383233532934132	0.9335119472756014	0.95	0.98	0.78	0.55	0.64
SVM-linear-model-binary-rmstopwords-n-1-2	0.9455089820359281	0.9425920167092638	0.9455089820359281	0.943487083364392	0.96	0.98	0.77	0.66	0.71
SVM-linear-model-binary-rmstopwords-n-1	0.9437125748502994	0.9409155879886683	0.9437125748502994	0.9418847288377276	0.96	0.98	0.76	0.66	0.70
SVM-linear-model-binary-rmstopwords-n-2	0.9191616766467066	0.9113206168635474	0.9191616766467066	0.9138808989137909	0.94	0.97	0.64	0.48	0.55
SVM-linear-model-frequency-rmstopwords-n-1-2	0.9431137724550899	0.9392342156862085	0.9431137724550899	0.9399870455381174	0.96	0.98	0.78	0.61	0.69
SVM-linear-model-frequency-rmstopwords-n-1	0.9482035928143713	0.9454091042654119	0.9482035928143713	0.9461597946963215	0.96	0.98	0.79	0.66	0.72
SVM-linear-model-frequency-rmstopwords-n-2	0.9269461077844311	0.9186271675201059	0.9269461077844311	0.9176637845573302	0.94	0.98	0.75	0.42	0.54
SVM-linear-model-tfidf-n-1-2	0.9449101796407186	0.9453500126139233	0.9449101796407186	0.9451235247398024	0.97	0.97	0.73	0.74	0.73
SVM-linear-model-tfidf-n-1	0.9413173652694611	0.9377896031545718	0.9413173652694611	0.9388622753855359	0.96	0.98	0.76	0.63	0.68
SVM-linear-model-tfidf-n-2	0.9239520958083832	0.9239520958083832	0.9239520958083832	0.9239520958083832	0.96	0.96	0.63	0.63	0.63
SVM-linear-model-tfidf-rmstopwords-n-1-2	0.9404191616766467	0.9408132707510869	0.9404191616766467	0.9406117639373486	0.97	0.97	0.70	0.71	0.71
SVM-linear-model-tfidf-rmstopwords-n-1	0.942814371257485	0.9391023790532566	0.942814371257485	0.9400049790619834	0.96	0.98	0.77	0.62	0.69
SVM-linear-model-tfidf-rmstopwords-n-2	0.9266467065868264	0.9199138684338648	0.9266467065868264	0.9217900260821597	0.95	0.97	0.69	0.51	0.59
SVM-rbf-model-binary-n-1-2	0.9473053892215569	0.9449287359120764	0.9473053892215569	0.9457540762053607	0.96	0.98	0.78	0.68	0.72
SVM-rbf-model-binary-n-1	0.9517964071856287	0.9496704351018069	0.9517964071856287	0.9503409417914347	0.97	0.98	0.80	0.70	0.75
SVM-rbf-model-binary-n-2	0.9368263473053893	0.9313887017387615	0.9368263473053893	0.9318392920492724	0.95	0.98	0.77	0.54	0.64
SVM-rbf-model-binary-rmstopwords-n-1-2	0.9494011976047905	0.9467713041010949	0.9494011976047905	0.947484173002703	0.96	0.98	0.80	0.67	0.73
SVM-rbf-model-binary-rmstopwords-n-1	0.9482035928143713	0.9456119763529546	0.9482035928143713	0.94640226905397	0.96	0.98	0.79	0.67	0.73
SVM-rbf-model-binary-rmstopwords-n-2	0.9278443113772455	0.9205754406572944	0.9278443113772455	0.9220129560931405	0.94	0.98	0.71	0.49	0.58
SVM-rbf-model-frequency-rmstopwords-n-1-2	0.9455089820359281	0.9419337637335091	0.9455089820359281	0.9425139067786178	0.96	0.98	0.80	0.62	0.70
SVM-rbf-model-frequency-rmstopwords-n-1	0.9464071856287425	0.9432609981408582	0.9464071856287425	0.944036194069275	0.96	0.98	0.79	0.65	0.71
SVM-rbf-model-frequency-rmstopwords-n-2	0.9269461077844311	0.9193760183827699	0.9269461077844311	0.9208348203827562	0.94	0.98	0.71	0.49	0.57
SVM-rbf-model-tfidf-n-1-2	0.9464071856287425	0.9455432667429887	0.9464071856287425	0.9459428501829812	0.97	0.97	0.75	0.72	0.73
SVM-rbf-model-tfidf-n-1	0.9467065868263473	0.9433206232125302	0.9467065868263473	0.9438670246359788	0.96	0.98	0.80	0.63	0.71
SVM-rbf-model-tfidf-n-2	0.9410179640718563	0.937256162281278	0.9410179640718563	0.9383131636974417	0.96	0.98	0.76	0.62	0.68
SVM-rbf-model-tfidf-rmstopwords-n-1-2	0.944311377245509	0.9453747267235143	0.944311377245509	0.9448079560401501	0.97	0.97	0.72	0.75	0.73
SVM-rbf-model-tfidf-rmstopwords-n-1	0.948502994011976	0.945447670801782	0.948502994011976	0.9460153914809301	0.96	0.98	0.81	0.65	0.72
SVM-rbf-model-tfidf-rmstopwords-n-2	0.9281437125748503	0.9208244399143991	0.9281437125748503	0.9221326102125472	0.94	0.98	0.71	0.49	0.58
